Title,Authors,Category_en,weighted_average
Evil spirits (hardcover),['mushtaq ahmed'],['supernatural and ghost'],3.534492995476703
Smart English Smart Way to Learn English - 2nd chunk,['farid ahmed'],['english grammar and language education'],3.6869709357210914
What will people say?(Hardcover),['ayman sadiq'],['self development and motivation'],4.075228348777902
Rahele Bellayat (Hardcover),['dr.khondaker abdullah jahangir'],['spirituality and sufism'],4.6509573162188325
Not in good (hardcover),['ayman sadiq'],['student life development'],4.271349104072418
Mathematical mathematics mathematics (hardcover),['chamok hasan'],['mathematics'],4.574309126829557
Recharge your down battery (hardcover),['jhankar mahmud'],['student life development'],4.572570105368527
Programming (Hardcover) for Hababuda,['jhankar mahmud'],['computer programming'],4.515843669539986
Digit brother (hardcover),['chamok hasan'],['mathematics'],4.365588101825422
The Prayer of the Prophet (peace be upon him) (1st and second volume) (Hardcover),['allama muhammad nasiruddin albani (rh)'],"['salat ', ' prayer']",4.1713343055234455
Corporate Communication (Hardcover),['rokhsana akhter rupee'],['career development'],4.007044849846826
Programming boss (hardcover),['jhankar mahmud'],['computer programming'],4.499920102507822
Presentation and Talking Techniques (Paperback),['md. zakir hossain'],"['presentation, lecture and debate techniques']",3.8572290193667387
In the study handkerchief (hardcover),['ragib hasan'],['education and research'],4.4215222348802214
Jukti Fade Phoring,['chamok hasan'],['communication'],4.254938050495196
Munazat and Prayer (Paperback),['dr.khondaker abdullah jahangir'],"['salat ', ' prayer']",4.602921132629709
Paracetamol (Hardcover) of Paracitory Life,['jhankar mahmud'],['student life development'],4.569674727601872
Last (hardcover),['junaid ivan'],['contemporary novel'],4.23827932258335
Fourteenth of programming (hardcover),['jhankar mahmud'],['computer programming'],4.37495507554857
Sahih Mashmanun Ozififa (Paperback),['dr.khondaker abdullah jahangir'],"['prayer, darood and yikar']",4.67552192099255
Screen (hardcover) in the eyes of the Qur'an and science,['mufti muhammad habib fired'],['screen provision'],4.081057804783597
Bible Quran and Science (Hardcover),['dr.morris bucaille'],"['islamic research, criticism and essay']",4.420013951618625
Nimich Pane: Calculus's path navigation (hardcover),['chamok hasan'],['mathematics'],4.493942040463302
Scientists' sports (hardcover),['ragib hasan'],['scientist'],4.359499139795385
How to learn speech and debate (Paperback),['deen mohammad sujon (editor)'],['career development'],3.601254901666754
Just inaccurate marketing (hardcover),['galib bin mohammad'],"['branding, marketing & singing']",4.301775746957999
Non physics (hardcover),['ratul khan'],['physics'],4.218447399724669
Web Design Learning Dollar Income (Hardcover),['freelancer nasim'],['web design and development'],2.405835718024467
Three: Fortiation AM (Hardcover),['nick pirator'],"['translation: mystery, detective, horror, myth, thriller, and adventure']",4.3737305734877205
Noman 1 (Paperback),['antik mahmud'],['childrenis: comics and photo stories'],3.8857145265412574
Nimich Pane 2: As the story of yogaization,['chamok hasan'],['mathematics'],4.7494755233787345
General knowledge of Tebib Mahmud (Bangladesh and International Affairs) (Paperback),['tebib mahmud'],['general knowledge'],4.267083019929231
The Best Sirat Book of the Prophet (peace be upon him): Rahikul Makhtum (Hardca),['allama safeur rahman mubarakpuri (ra)'],['rasool in sita'],4.293184313381055
Bassimat (hardcover) in Sharab,['munir hasan'],"['branding, marketing & singing']",4.370942067462203
Growth Hacking Marketing (Hardcover),['munir hasan'],"['branding, marketing & singing']",4.073385730560285
Three: Tenn A M (Hardcover),['nick pirator'],"['translation: mystery, detective, horror, myth, thriller, and adventure']",4.33002284989507
The Power of Positive Thinking (Hardcover),['dr.norman vincent pill'],['translation: self-development and meditation'],3.9052290193667387
